,A,B,C,Ç,D,E,Ə,F,G,Ğ,H,I,İ,J,K,L,M,N,O,Ö,P,Q,R,S,Ş,T,U,Ü,V,X,Y,Z,NA,Total
@RockaHeller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,191
RЙ™van,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
@nargizabdulova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Zumrud Isgandarli,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,180
@eminlinuraya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194
Amina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Nazrin,8,0,0,4,20,32,12,18,14,20,24,24,2,0,10,10,22,12,14,12,16,10,30,24,4,24,16,0,4,14,2,10,2,414
@nssafarova,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,0,2,0,0,0,0,0,0,2,2,0,4,0,2,0,5,27
@behruzgurbanli,4,0,0,0,0,0,0,2,0,2,0,6,4,6,4,16,16,4,6,16,6,10,8,8,4,8,8,6,8,2,6,4,108,272
ayan,0,0,0,0,0,0,0,0,6,0,0,2,4,2,2,0,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,25,51
@mxrzoeva,20,38,22,10,20,16,8,12,8,8,12,8,10,20,8,8,12,8,12,8,10,4,8,10,14,6,6,8,4,10,6,2,16,372
@inspiredmoonchild,2,6,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,6,0,4,179,207
@habibli_01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155,155
@alialiyev818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160
Muhammadjon Hojiboboev,10,10,10,0,20,10,0,10,2,10,10,10,0,0,0,0,10,0,0,0,10,10,0,0,0,0,8,0,0,0,0,10,80,230
Sema Mustafazada,10,2,12,10,8,8,10,6,6,8,2,10,10,8,2,10,6,10,0,12,14,10,14,14,12,12,12,10,10,18,6,12,26,320
Cavid Mammadzada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,194
@ba6ayeev,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,160,172
@Sanan666,22,10,0,10,20,10,0,32,0,20,10,20,24,10,0,22,10,12,10,0,0,12,0,10,10,0,32,0,0,22,0,10,11,349
Sadig Mammadov,2,4,4,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,159,179
@mammedd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160
Gunel Dibirova,0,0,10,10,10,0,0,0,0,10,0,20,10,12,0,10,0,10,30,10,0,0,0,20,0,10,0,0,0,0,10,0,62,244
@sapiens79263638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,160
Musa Afandiyev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,165
@Remzi85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15
@ffetiyev,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,155,165
@Askar_Off,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,181
.......,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225,225
shahla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,168
Ibrahim Aliyev,16,8,6,8,10,12,12,6,10,16,14,10,6,8,12,8,12,10,10,8,6,16,8,12,10,12,10,10,14,18,10,8,41,377
@mehribanalieva,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,155,163
@rijat0,10,20,20,10,8,10,0,0,10,10,10,0,0,0,10,20,30,10,10,0,0,10,0,0,0,0,0,10,10,30,10,20,45,323
Namiq Emralizade,22,12,12,8,4,10,8,16,18,14,14,12,8,24,10,12,10,12,12,4,8,6,8,6,10,6,6,4,4,20,0,0,0,320
Vaqif Kerimli,2,10,20,0,2,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,74
@ramiztaghiyev,12,10,0,0,0,20,0,14,10,2,4,22,12,30,30,10,10,2,0,0,22,24,10,2,22,0,6,4,10,14,12,2,0,316
@ahulutherking,10,10,0,0,10,30,0,30,0,10,10,40,10,10,10,0,30,50,30,42,30,10,0,20,20,50,20,28,30,20,20,38,0,618
@AEljan,0,6,10,10,10,10,0,0,10,22,0,0,2,0,26,0,0,30,10,24,10,20,10,0,10,0,20,10,0,0,10,0,0,260
Günai,10,10,0,0,0,20,10,0,10,0,30,10,20,0,20,10,10,0,20,20,10,0,10,30,0,10,20,10,10,10,12,0,0,322
@madebylucifer,12,10,10,0,0,10,10,0,0,0,0,20,0,0,0,0,0,0,10,0,10,0,10,10,10,20,20,20,20,10,10,20,0,242
Фархад Мустафаев,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,6,0,14
@XudiyevRauf,30,30,0,0,12,2,0,4,8,0,10,0,10,10,10,20,12,20,20,20,10,20,10,20,0,8,12,0,0,0,10,10,0,318
@Praisetheloord,20,0,10,20,0,0,10,10,0,0,10,10,10,10,10,0,0,20,10,10,10,20,10,10,0,0,10,0,0,32,0,20,0,272
Abdullah Bayramov,16,12,6,14,28,14,16,12,6,6,0,4,2,12,14,12,0,0,4,0,0,4,6,2,8,6,14,0,10,4,0,0,0,232
Fidan Yusifova,40,52,20,32,0,0,24,20,20,20,10,12,10,10,10,4,10,0,20,0,20,0,0,10,30,26,10,10,6,12,10,2,0,450
Revan Mammadov,14,10,10,10,0,10,30,0,10,0,20,20,10,12,12,10,20,0,0,0,10,20,0,10,20,20,10,2,0,20,0,10,0,320
Nermine Kerimli,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,14
Mamed,8,8,10,4,4,10,10,12,8,8,12,16,2,10,8,8,12,14,10,10,16,14,10,6,14,10,12,14,10,16,14,10,0,330
@melez212,6,6,10,12,4,10,16,10,8,0,10,26,12,0,8,8,6,10,12,2,14,14,4,14,28,22,6,12,2,24,20,10,0,346
Rufat İsmayılov,10,10,0,10,20,0,10,20,10,0,0,10,10,0,10,10,0,20,10,0,0,10,0,20,10,0,10,0,0,30,30,10,0,280
@JustAB0y,22,0,0,0,10,20,0,10,0,0,0,20,10,20,20,10,0,0,10,20,10,0,0,20,20,40,0,0,10,0,10,30,0,312
@hugola_550,0,10,0,0,0,0,20,10,8,10,14,10,22,10,10,30,0,20,0,20,12,28,0,20,2,34,6,8,10,0,0,10,0,324
Melek✨,10,4,6,6,8,6,10,0,0,0,4,8,2,0,0,4,2,4,0,2,4,8,0,10,4,4,6,0,8,0,2,2,0,124
@ismgln,0,4,24,8,2,8,26,14,12,10,24,32,20,0,10,10,0,10,0,20,24,10,0,2,8,16,6,24,8,16,0,12,0,360
Alisadiq *,0,10,10,10,0,2,10,10,0,10,2,0,0,12,24,10,10,2,10,10,6,10,0,10,10,10,0,32,0,2,10,20,0,252
@aykhansm,20,30,0,0,20,0,10,10,10,10,20,0,20,0,30,22,10,2,4,20,10,20,0,20,10,0,10,10,10,0,0,10,0,338
@melek_hajili,0,10,12,0,8,0,10,0,0,20,8,20,10,0,10,0,10,10,0,30,30,10,0,10,10,0,20,18,20,10,22,8,0,316
@fukchi,8,8,14,2,0,12,10,8,2,10,6,6,6,0,6,8,0,0,0,2,14,2,2,2,0,8,0,8,2,8,2,0,0,156
@jhuseynzada,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,0,0,10,0,4,0,0,2,0,0,0,0,12,0,0,34
@farahhah,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,10,8,10,4,0,8,10,10,10,14,10,0,10,4,2,16,0,144
@Ismayilov_Rufat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,40
@Raulhetee,10,10,10,10,10,10,10,10,10,10,10,12,0,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,322
@Nigar_Alishzade,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
@muradheydarov,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
@e1000alizade,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
@jhasanov,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,6,0,0,0,0,4,20
Samir Aliyev,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
@Khayala_Haziyeva,4,4,4,0,0,0,0,2,0,0,2,2,2,4,2,0,2,2,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,38
Kk Kk,0,0,0,0,2,4,0,0,0,2,0,0,2,0,0,2,0,4,0,2,0,2,4,0,2,0,0,0,0,0,6,0,0,32
@Sayali_Yagubova,0,4,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,2,0,0,2,0,0,0,22
jale,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
Ismayilova Elvina,2,0,0,0,0,0,2,0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,24
@nurnajafova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
@tahminaa1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4
@frasulov4671,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,8
@javidan_1907,0,0,0,2,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,16
@qasham23,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
Xalid!,10,20,18,10,10,10,10,10,10,20,12,10,10,24,20,20,2,12,12,10,0,20,10,0,10,0,0,0,10,0,0,10,0,320
Gülağa Abdullazade,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12
@kanuxaa,4,16,14,10,4,6,10,10,12,10,20,10,8,22,12,12,10,8,10,10,10,10,10,10,14,18,12,10,24,10,14,12,0,372
@Ehtiram_Maharramli,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
@rahimlinemat,0,0,0,0,0,0,2,0,0,0,4,0,0,2,2,0,2,0,0,0,0,0,0,4,0,2,0,0,0,0,2,2,0,22
@ilkinsharafkhan,0,0,0,12,0,0,0,10,0,0,0,0,0,0,10,12,0,10,0,0,0,10,10,0,0,0,10,10,20,0,0,0,0,114
@AeSaR1,6,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20
@AbrahamStrange,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,2,0,14
@luciiforever,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,0,0,0,0,2,0,0,10
Murad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,0,0,0,0,0,0,2,0,0,10
@ragimaism,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2,2,0,4,0,0,0,26
Mehriban Aliyeva,0,0,0,2,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,2,2,0,0,0,2,0,0,2,0,0,0,2,0,20
@eniyazov,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,2,0,12
Kruzberg Berlin,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0,12
Ünal Hüseynli,10,6,4,0,2,2,12,2,2,0,2,4,4,4,2,2,4,4,2,6,2,2,2,2,10,4,2,2,4,6,2,4,0,116
@itzaytoo9,0,4,0,0,0,0,2,0,0,4,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,22
@Suleymansmile,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,2,4,0,0,4,0,0,0,0,16
@nqsnva,2,0,10,0,0,10,20,10,10,0,10,14,14,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,30,10,0,320
Mr.koks,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
@icebbay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,2,0,0,12
Hikmat,0,0,0,0,0,0,0,0,68,2,0,0,4,2,0,0,0,4,2,2,0,0,0,0,0,0,0,0,4,0,2,0,0,90
Rəvan,2,0,0,2,0,0,2,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,16
@Iwannasleepsobad,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Bəyazid Ələkbərli,12,12,14,16,10,10,16,14,10,16,14,20,18,18,12,10,10,16,16,16,10,14,14,16,18,16,10,14,10,12,18,16,0,448
@thetetnus,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,0,2,2,2,0,2,0,2,0,0,0,0,0,20
@a1su_xv,0,0,0,0,0,0,0,0,0,20,20,10,10,10,20,10,20,20,10,10,20,10,20,10,20,10,10,10,10,10,20,10,0,320
Aliyev,10,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,2,0,2,2,2,0,0,2,0,2,0,0,0,2,0,2,0,30
Bayramov Abdullah,0,0,0,0,0,4,2,8,12,0,10,10,0,8,4,0,10,0,6,10,0,0,4,10,0,0,0,0,0,0,0,0,0,98
@mashinadla,0,0,0,0,0,0,0,0,0,0,2,4,2,2,2,0,2,0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,22
Musa,10,0,0,10,20,20,2,0,2,0,0,0,0,10,0,10,10,10,12,20,10,10,10,20,10,20,20,20,20,10,20,20,0,326
@RahmanJabbarli,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Xanlar Abbasov,10,0,10,0,0,18,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,58
@MuradWantsToGrind,0,0,0,0,0,0,0,8,0,0,6,8,0,0,0,0,0,0,0,0,6,0,0,8,8,6,8,0,0,8,0,0,0,66
@muradbekirof,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,320
Emil Aliyev,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6
@aliyevv_181,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,0,312
Gultac Muradova,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
